pharmacy_id,sku,drug_name,form,strength,price,qty
ph0003,OTC029,Ibuprofen,Lozenge,100ml,122.61,178
ph0003,OTC008,Saline Nasal Spray,Lozenge,750mg,110.18,34
ph0003,OTC005,Melatonin,Cream,1%,8.03,37
ph0003,OTC001,Chlorpheniramine,Capsule,500mg,10.66,164
ph0003,OTC007,Eye Drops,Capsule,65mg,141.26,182
ph0003,OTC015,Phenylephrine,Cream,1%,57.53,200
ph0003,OTC006,Dextromethorphan,Drops,10mg,51.0,89
ph0003,OTC014,Cough Syrup,Syrup,24 count,115.61,74
ph0003,OTC024,Electrolyte Solution,Drops,20mg,142.34,2
ph0003,OTC011,Iron Supplement,Solution,1%,39.44,39
ph0003,OTC017,Diphenhydramine,Tablet,100ml,80.29,30
ph0003,OTC026,Omeprazole,Lozenge,200mg,28.94,197
ph0003,OTC016,Guaifenesin,Tablet,20mg,52.07,199
ph0003,OTC004,Throat Lozenges,Spray,20mg,110.57,77
ph0003,OTC021,Antibiotic Ointment,Ointment,750mg,38.39,20
ph0024,OTC001,Ibuprofen,Cream,250mg,87.28,55
ph0024,OTC020,Phenylephrine,Lozenge,65mg,116.13,10
ph0024,OTC018,Antibiotic Ointment,Syrup,20mg,100.76,40
ph0024,OTC012,Iron Supplement,Lozenge,1%,47.09,178
ph0024,OTC028,Hydrocortisone Cream,Solution,250mg,119.75,128
ph0024,OTC003,Calcium Supplement,Drops,24 count,69.39,23
ph0024,OTC008,Dextromethorphan,Lozenge,500mg,110.02,43
ph0024,OTC004,Guaifenesin,Syrup,10mg,113.65,63
ph0024,OTC030,Loratadine,Capsule,10mg,39.6,128
ph0024,OTC021,Vitamin C,Capsule,20mg,105.55,148
ph0024,OTC022,Cetirizine,Cream,1%,62.29,140
ph0024,OTC026,Pseudoephedrine,Syrup,10mg,87.21,159
ph0024,OTC029,Acetaminophen,Drops,65mg,121.01,174
ph0024,OTC007,Zinc Supplement,Capsule,24 count,143.73,101
ph0024,OTC005,Chlorpheniramine,Tablet,20mg,146.2,98
ph0088,OTC006,Acetaminophen,Tablet,500mg,112.15,28
ph0088,OTC013,Calcium Supplement,Drops,100ml,131.87,20
ph0088,OTC027,Chlorpheniramine,Tablet,100ml,73.37,153
ph0088,OTC014,Melatonin,Syrup,325mg,37.64,76
ph0088,OTC026,Zinc Supplement,Syrup,100ml,24.79,89
ph0088,OTC004,Vitamin C,Cream,500mg,75.66,24
ph0088,OTC019,Paracetamol,Cream,1%,5.42,130
ph0088,OTC002,Probiotic,Cream,20mg,55.52,145
ph0088,OTC007,Antibiotic Ointment,Syrup,65mg,84.65,128
ph0088,OTC016,Loratadine,Syrup,200mg,32.19,195
ph0088,OTC005,Iron Supplement,Cream,65mg,13.26,107
ph0088,OTC008,Phenylephrine,Capsule,200mg,58.38,161
ph0088,OTC003,Ibuprofen,Lozenge,100ml,60.55,195
ph0088,OTC018,Antacid Tablets,Drops,250mg,142.67,163
ph0088,OTC023,Eye Drops,Capsule,65mg,64.68,62
ph0023,OTC027,Magnesium Supplement,Spray,10mg,110.71,98
ph0023,OTC003,Throat Lozenges,Cream,200mg,142.52,187
ph0023,OTC029,Pseudoephedrine,Drops,100ml,107.3,87
